"main_category","sub_category","mean_ratings","sd_ratings","median_ratings","mode_ratings","mean_number_of_ratings","sd_number_of_ratings","median_number_of_ratings","mode_number_of_ratings","mean_discount_price","sd_discount_price","median_discount_price","mode_discount_price","mean_actual_price","sd_actual_price","median_actual_price","mode_actual_price","number_of_orders","total_revenue"
"car & motorbike","Car Parts",3.63494736842105,0.855848131752509,3.7,4,89.7526315789474,392.569969693001,10,4,776.474126315788,1273.74850455781,490,499,1395.84487368421,1883.34042419295,990,999,85265,107551136.87
"car & motorbike","Motorbike Accessories & Parts",3.72828077314344,0.78309129095272,3.8,5,155.386571719228,955.673598881719,14,5,783.653926754832,1221.58751083696,399,299,1309.24608341811,1478.93547085999,899,999,152745,163802654.13
"grocery & gourmet foods","All Grocery & Gourmet Foods",4.1763829787234,0.313922082081494,4.2,4.3,873.648936170214,1516.23617647899,338.5,4.3,361.291074468085,629.30002208483,243.5,299,513.803191489362,1402.57157044247,299,299,821230,516411844.43
"grocery & gourmet foods","Coffee, Tea & Beverages",4.07185251798561,0.601190675621721,4.1,4.1,361.073741007198,1966.04675375274,27,4.1,486.139496402878,481.225631081728,352.5,299,622.56834532374,791.765011419747,420,300,401514,459612301.32
"grocery & gourmet foods","Snack Foods",3.96828752642706,0.58453493094514,4,4,440.606765327701,1638.1693020363,43,4,387.60721987315,310.152905698488,299.5,199,583.786205073995,666.228278736998,399,300,416814,129052702.42
"home & kitchen","All Home & Kitchen",4.07729149463253,0.388497334092552,4.1,4.2,3161.82246077624,7378.88982146904,794,4.2,1224.89438480595,3693.67131135699,399,299,2245.79620974402,6157.40278101155,910,999,3828967,5784294253.75
"home & kitchen","Bedroom Linen",3.91145194274029,0.691453705950869,3.9,5,290.58691206544,1601.41017664152,19,5,879.341196319019,789.112990645462,599,499,1913.95989775051,1584.51747258034,1499,999,284194,296264019.87
"home & kitchen","Furniture",3.89032815198618,0.684582451837675,4,4,281.415371329882,1168.63112130043,45,4,2498.91523316063,4672.02721509062,995.5,399,4781.71071675301,8427.25991882024,1999,999,325879,908834393.43
"home & kitchen","Garden & Outdoors",3.79846743295019,0.686842196692205,3.9,3.8,297.643678160918,1367.44798784854,35.5,3.8,752.058783524904,1585.98181897372,345,199,9484130.97796943,306397265.458005,649.5,999,310740,271448657.3
"home & kitchen","Home Décor",4.05747028862479,0.536801361934848,4.1,4.2,309.376061120548,1944.74866759772,48,4.2,517.688853989813,609.036950230242,349,199,1157.92487266553,1425.13979209721,845,999,364445,153613412.38
"home & kitchen","Home Furnishing",4.00030303030303,0.449917757447878,4,4,666.638636363632,5672.57992248453,84,4,614.10609090909,555.973775788653,474,299,1342.07454545454,1205.75306925034,999,999,879963,753918146.4
"home & kitchen","Home Improvement",3.93883196721311,0.529807191288634,4,4,877.130122950815,4723.37368983441,76.5,4,881.724303278689,1681.88479856585,425.5,199,1766.30491803279,3590.50560128199,936.5,999,856079,983139892.87
"home & kitchen","Home Storage",3.94018433179723,0.617523893746936,4,4,406.12718894009,1288.99167107025,48,4,719.278967741936,927.27990387493,440,399,1492.97105990783,2131.56998050302,999,999,440648,350772085.98
"home & kitchen","Indoor Lighting",3.91139359698682,0.6532108309761,4,4,222.445386064028,728.321166334738,33,4,991.255263653486,1223.79518486696,640.5,499,1982.77118644068,2220.35308503886,1267,999,236237,305360147.97
